,PPE,DFA,RPDE,numPulses,numPeriodsPulses,meanPeriodPulses,stdDevPeriodPulses,locPctJitter,locAbsJitter,rapJitter,ppq5Jitter,ddpJitter,locShimmer,locDbShimmer,apq3Shimmer,apq5Shimmer,apq11Shimmer,ddaShimmer,meanAutoCorrHarmonicity,meanNoiseToHarmHarmonicity,meanHarmToNoiseHarmonicity
0,0.8524700000000001,0.71826,0.57227,240,239,0.00806353,8.68e-05,0.00218,1.76e-05,0.00067,0.0012900000000000001,0.002,0.05882999999999999,0.517,0.03011,0.034960000000000005,0.04828,0.09034,0.9708049999999999,0.036223000000000005,18.995
1,0.76686,0.69481,0.53966,234,233,0.008258256,7.31e-05,0.00195,1.6100000000000002e-05,0.0005200000000000001,0.00112,0.00157,0.05516,0.502,0.0232,0.03675,0.06195,0.06961,0.9843219999999999,0.017974,21.497
2,0.85083,0.67604,0.58982,232,231,0.00833959,6.04e-05,0.00176,1.47e-05,0.00057,0.0011099999999999999,0.0017100000000000001,0.09902000000000001,0.897,0.05094,0.06497,0.07772000000000001,0.15282,0.9748459999999999,0.026313,17.651
3,0.41121,0.79672,0.5925699999999999,178,177,0.010857733,0.000182739,0.00419,4.55e-05,0.00149,0.00268,0.00446,0.05451,0.527,0.02395,0.028569999999999998,0.04462,0.07185,0.9683430000000001,0.042003,19.865
4,0.3279,0.79782,0.53028,236,235,0.008161574,0.002668863,0.00535,4.3700000000000005e-05,0.0016600000000000002,0.00227,0.00499,0.0561,0.49700000000000005,0.029089999999999998,0.03327,0.052779999999999994,0.08728,0.9757540000000001,0.027139,19.557000000000002
5,0.5078,0.7874399999999999,0.65451,226,221,0.007631204,0.002696381,0.00783,5.9699999999999994e-05,0.00232,0.00312,0.0069700000000000005,0.07752,0.6779999999999999,0.03805,0.04767,0.06451,0.11415,0.9067200000000001,0.13708800000000002,14.675999999999998
6,0.76095,0.62145,0.54543,322,321,0.005990989,0.000107266,0.0022199999999999998,1.3300000000000001e-05,0.00036,0.0009400000000000001,0.00108,0.03203,0.28,0.0155,0.01971,0.03274,0.0465,0.984564,0.015745,18.67
7,0.8367100000000001,0.62079,0.51179,318,317,0.006073855,0.000135739,0.00282,1.7100000000000002e-05,0.00033999999999999997,0.00088,0.00103,0.063,0.539,0.02949,0.04091,0.06445,0.08847999999999999,0.987625,0.012620999999999999,20.302
8,0.8082600000000001,0.61766,0.50447,318,317,0.006057188000000001,6.929999999999999e-05,0.00161,9.73e-06,0.00027,0.0006799999999999999,0.00081,0.02783,0.244,0.01376,0.0176,0.02698,0.04129,0.9923930000000001,0.007690000000000001,22.375999999999998
9,0.8530200000000001,0.62247,0.54855,493,492,0.003910221,3.9899999999999994e-05,0.00075,2.93e-06,9e-05,0.00025,0.00027,0.0567,0.512,0.02692,0.03344,0.0563,0.08077000000000001,0.994504,0.005538,23.426
