,maxIntensity,meanIntensity
0,76.08804597,72.46551224
1,73.04637365,71.52894525
2,71.6335491,68.08658253
3,81.00074938,79.19059268
4,80.93725752,79.18349455
5,80.61459243,78.73294437
6,78.38126333,77.07710217
7,78.4653465,76.84192934
8,78.21787349,76.97405151
9,80.03237759,76.08609791
10,77.90192316,74.82331272
11,78.66524436,75.99454074
12,63.58909698,60.77828139
13,65.61169391,63.28955062
14,67.10612808,63.21534545
15,83.09050904,82.24241735
16,83.86184708,82.02974357
17,83.47420536,82.24018558
18,80.88107965,79.24103702
19,81.1762146,79.2755141
20,80.01829058,78.29521507
21,81.16426053,78.69615867
22,78.22027633,76.25672222
23,78.30391937,76.9972412
24,83.45896045,82.40108584
25,85.07589999,83.71411088
26,84.40721405,83.01528153
27,82.29044519,77.62458662
28,83.52117414,79.61079856
29,80.48255962,77.9687012
30,65.27334973,61.21087764
31,67.10682621,63.33239835
32,64.05134235,61.12288384
33,80.10176303,78.79790781
34,78.98729951,77.88385918
35,78.85625447,77.92327649
36,80.11060772,78.38283341
37,81.32569722,80.01930995
38,79.94742017,78.21801663
39,80.12045078,79.13772486
40,79.22691199,77.24568388
41,79.59475256,78.08404275
42,73.95574387,72.66759954
43,73.72491725,71.12981841
44,73.24703928,71.40945755
45,58.22475486,55.32277043
46,57.15594751,52.61509107
47,55.91944598,51.73023963
48,80.4745163,75.78825188
49,78.57507468,72.888506
50,65.88559877,63.43021955
51,79.73907137,76.69168666
52,80.27931275,77.87281027
53,79.33928043,76.76230529
54,62.55542315,60.04737855
55,64.85450031,61.44632681
56,67.5446627,63.04539828
57,73.70173512,72.75841322
58,72.8454298,71.30905154
59,76.60498885,75.03315223
60,81.57637521,80.03872843
61,79.81835946,78.58320546
62,79.83195228,77.63590532
63,74.8243076,72.45994025
64,72.30374571,70.46412517
65,71.68600429,69.69537375
66,81.86127607,79.95963207
67,83.48097173,82.27835965
68,85.43286041,84.38730438
69,79.09090812,77.5680449
70,81.37035056,80.33580898
71,84.8147001,79.69387042
72,80.46310417,79.38377787
73,81.68292872,79.69046826
74,81.94118108,80.01339085
75,82.23126947,80.28612212
76,80.53578687,78.79378006
77,80.5874782,79.12862546
78,79.02711744,78.02977516
79,79.14941323,78.26121089
80,79.24391413,78.3614985
81,78.93207419,74.43154792
82,66.11453768,64.22728091
83,75.2048644,72.78213297
84,81.76628648,80.16960968
85,75.68716632,73.55947633
86,80.91077802,79.33533076
87,80.46576461,79.19513535
88,80.88639504,79.70360349
89,79.41687286,77.95430824
90,66.13744406,63.41097225
91,72.48772874,65.54895366
92,68.84769558,66.52845827
93,66.44359597,64.25595365
94,69.31264261,66.986217
95,70.31744712,67.58352775
96,57.05481596,53.44701783
97,61.58800917,57.56302501
98,57.09577786,53.69553848
99,79.81702959,78.88023261
100,78.58762789,77.75378791
101,78.53893799,77.9659807
102,80.06073474,78.83996612
103,79.90834986,78.68651009
104,80.9266938,79.7694005
105,81.33702705,79.74333631
106,81.07756347,79.13750591
107,79.40329252,77.97976744
108,78.12779517,76.61322625
109,77.91331061,76.46439903
110,79.46475446,77.77085064
111,85.61022901,82.73382546
112,81.45769909,78.93172275
113,85.61022901,82.73382546
114,77.62491149,76.33615453
115,76.65120092,75.0962731
116,76.51544831,75.23523341
117,81.69905889,80.33186174
118,81.74033184,80.51070199
119,81.86351328,80.23330801
120,70.32200379,68.63002583
121,74.28746227,72.77435451
122,76.69950625,74.26740781
123,78.0857326,77.05997685
124,78.43797504,77.0005195
125,79.33580387,78.83638382
