,minIntensity,maxIntensity,meanIntensity
0,69.9974958,76.08804597,72.46551224
1,67.41590313,73.04637365,71.52894525
2,62.66170618,71.6335491,68.08658253
3,76.30698902,81.00074938,79.19059268
4,76.64568627,80.93725752,79.18349455
5,74.08456583,80.61459243,78.73294437
6,75.05971776,78.38126333,77.07710217
7,75.09765414,78.4653465,76.84192934
8,75.18983906,78.21787349,76.97405151
9,71.2566179,80.03237759,76.08609791
10,68.12635804,77.90192316,74.82331272
11,73.29960097,78.66524436,75.99454074
12,56.58777322,63.58909698,60.77828139
13,60.23486497,65.61169391,63.28955062
14,55.48501868,67.10612808,63.21534545
15,80.93739569,83.09050904,82.24241735
16,80.44464179,83.86184708,82.02974357
17,80.77034166,83.47420536,82.24018558
18,76.61654914,80.88107965,79.24103702
19,77.3212765,81.1762146,79.2755141
20,75.80625882,80.01829058,78.29521507
21,76.5549113,81.16426053,78.69615867
22,72.70737861,78.22027633,76.25672222
23,75.43698322,78.30391937,76.9972412
24,80.9074057,83.45896045,82.40108584
25,81.60194174,85.07589999,83.71411088
26,81.13567631,84.40721405,83.01528153
27,75.00264141,82.29044519,77.62458662
28,75.25397914,83.52117414,79.61079856
29,75.59284848,80.48255962,77.9687012
30,54.69447877,65.27334973,61.21087764
31,59.11416185,67.10682621,63.33239835
32,56.12794636,64.05134235,61.12288384
33,76.78113039,80.10176303,78.79790781
34,76.58636018,78.98729951,77.88385918
35,76.71784682,78.85625447,77.92327649
36,76.3577042,80.11060772,78.38283341
37,77.89753526,81.32569722,80.01930995
38,76.69409081,79.94742017,78.21801663
39,76.87474515,80.12045078,79.13772486
40,67.58793793,79.22691199,77.24568388
41,75.90441272,79.59475256,78.08404275
42,70.01740855,73.95574387,72.66759954
43,67.44275074,73.72491725,71.12981841
44,68.22755823,73.24703928,71.40945755
45,51.06956834,58.22475486,55.32277043
46,42.73330584,57.15594751,52.61509107
47,42.28986683,55.91944598,51.73023963
48,71.83517955,80.47451629999999,75.78825188
49,67.73548012,78.57507468,72.888506
50,61.52626961,65.88559877,63.43021955
51,74.62300442,79.73907137,76.69168666
52,74.78891773,80.27931275,77.87281027
53,73.71255853,79.33928043,76.76230529
54,57.45912864,62.55542315,60.04737855
55,57.37964016,64.85450031,61.44632681
56,57.43829075,67.5446627,63.04539828
57,70.25334869,73.70173512,72.75841322
58,69.86575822,72.84542979999999,71.30905154
59,72.90186154,76.60498885,75.03315223
60,78.10080732,81.57637521,80.03872843
61,77.57520514,79.81835946,78.58320546
62,75.81959208,79.83195228,77.63590532
63,67.23736891,74.82430759999998,72.45994025
64,67.53474761,72.30374571,70.46412517
65,67.14039478,71.68600429,69.69537375
66,77.77034173,81.86127607,79.95963207
67,81.41016548,83.48097173,82.27835965
68,82.25322535,85.43286041,84.38730438
69,75.67835113,79.09090812,77.5680449
70,78.74768279,81.37035056,80.33580898
71,73.54847222,84.8147001,79.69387042
72,77.72704198,80.46310417,79.38377787
73,77.59875093,81.68292872,79.69046826
74,77.32647756,81.94118108,80.01339085
75,78.56904562,82.23126947,80.28612212
76,75.99679206,80.53578687,78.79378006
77,77.52754386,80.5874782,79.12862546
78,76.97868495,79.02711744,78.02977516
79,77.21750707,79.14941323,78.26121089
80,77.62600708,79.24391413,78.3614985
81,68.39800696,78.93207419,74.43154792
82,61.793978700000004,66.11453768,64.22728091
83,70.22431133,75.2048644,72.78213297
84,77.70873975,81.76628648,80.16960968
85,71.34609069,75.68716632,73.55947633
86,77.59797657,80.91077802,79.33533076
87,78.13746523,80.46576461,79.19513535
88,78.25553318,80.88639504,79.70360349
89,76.60216451,79.41687286,77.95430824
90,58.74017117,66.13744406,63.41097225
91,60.30015869,72.48772874,65.54895366
92,62.32460139,68.84769558,66.52845827
93,62.34434479,66.44359597,64.25595365
94,63.72676685,69.31264261,66.98621700000001
95,65.55379593,70.31744712,67.58352775
96,48.77589129,57.05481596,53.44701783
97,52.88896144,61.58800917,57.56302501
98,48.30960167,57.09577786,53.69553848
99,78.01366916,79.81702959,78.88023261
100,76.50376700000001,78.58762789,77.75378791
